"","V1","V2","blastp"
"25459","Sinv_RNA-XM_011159243.2_R0","gene_307","PREDICTED: catenin delta-2 isoform X1 [Trachymyrmex septentrionalis]"
"25460","Aech_RNA1869_R0","gene_308","PREDICTED: uncharacterized protein LOC105151882 [Acromyrmex echinatior]"
"25463","Mpha_ver3_rna-XM_036287149.1_R0","gene_309","PREDICTED: hepatocyte nuclear factor 6-like [Wasmannia auropunctata]"
"25464","Mpha_ver3_rna-XM_036287150.1_R0","gene_309","PREDICTED: hepatocyte nuclear factor 6-like [Wasmannia auropunctata]"
"25465","Mpha_ver3_rna-XM_036290156.1_R2","gene_148",NA
"25466","Aech_RNA1866_R0","gene_149","PREDICTED: glutaryl-CoA dehydrogenase, mitochondrial [Acromyrmex echinatior]"
"25469","Mpha_ver3_rna-XM_036286919.1_R0","gene_149","PREDICTED: glutaryl-CoA dehydrogenase, mitochondrial [Acromyrmex echinatior]"
"25470","Aech_RNA1864_R0","gene_150","PREDICTED: caveolin-3-like isoform X1 [Acromyrmex echinatior]"
"25473","Aech_RNA1865_R0","gene_150","PREDICTED: caveolin-3-like isoform X1 [Acromyrmex echinatior]"
"25475","Mpha_ver3_rna-XM_012667592.3_R0","gene_150","PREDICTED: caveolin-3-like isoform X1 [Acromyrmex echinatior]"
"25477","Aech_RNA1862_R0","gene_310","PREDICTED: uncharacterized protein LOC105151864 isoform X2 [Acromyrmex echinatior]"
"25480","Aech_RNA1861_R0","gene_310","PREDICTED: uncharacterized protein LOC105151864 isoform X1 [Acromyrmex echinatior]"
"25481","Aech_RNA1860_R0","gene_311","PREDICTED: uncharacterized protein LOC105151830 [Acromyrmex echinatior]"
"25482","Sinv_RNA-XM_011177046.2_R0","gene_312","PREDICTED: RNA polymerase II degradation factor 1 isoform X1 [Trachymyrmex cornetzi]"
"25485","Aech_RNA1856_R0","gene_151","PREDICTED: ubiquitin carboxyl-terminal hydrolase calypso [Acromyrmex echinatior]"
"25488","Aech_RNA1857_R0","gene_313","PREDICTED: uncharacterized protein LOC105151803 [Acromyrmex echinatior]"
"25491","Aech_RNA1855_R0","gene_152","PREDICTED: MIP18 family protein CG7949 [Acromyrmex echinatior]"
"25494","Aech_RNA1854_R0","gene_314","PREDICTED: evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial [Acromyrmex echinatior]"
"25497","Aech_RNA1852_R0","gene_153","PREDICTED: ceramide kinase isoform X1 [Acromyrmex echinatior]"
"25500","Aech_RNA1853_R0","gene_153","PREDICTED: ceramide kinase isoform X1 [Acromyrmex echinatior]"
"25501","Sinv_RNA-XM_011169134.2_R0","gene_315","XK-related protein [Temnothorax longispinosus]"
"25502","Aech_RNA1849_R0","gene_316","PREDICTED: uncharacterized protein LOC105151760 [Acromyrmex echinatior]"
"25505","Aech_RNA1848_R0","gene_154","PREDICTED: uncharacterized protein LOC105151746 isoform X2 [Acromyrmex echinatior]"
"25508","Aech_RNA1846_R0","gene_154","PREDICTED: uncharacterized protein LOC105151746 isoform X1 [Acromyrmex echinatior]"
"25509","Aech_RNA1847_R0","gene_154","PREDICTED: uncharacterized protein LOC105151746 isoform X3 [Acromyrmex echinatior]"
"25510","Aech_RNA1845_R0","gene_317","PREDICTED: mRNA cap guanine-N7 methyltransferase isoform X1 [Acromyrmex echinatior]"
"25513","Aech_RNA1844_R0","gene_317","PREDICTED: mRNA cap guanine-N7 methyltransferase isoform X2 [Acromyrmex echinatior]"
"25514","Aech_RNA1841_R0","gene_318","PREDICTED: DNA topoisomerase I, mitochondrial isoform X1 [Acromyrmex echinatior]"
"25517","Aech_RNA1843_R0","gene_318","PREDICTED: DNA topoisomerase 1 isoform X3 [Acromyrmex echinatior]"
"25519","Aech_RNA1842_R0","gene_318","PREDICTED: DNA topoisomerase I, mitochondrial isoform X2 [Acromyrmex echinatior]"
"25520","Sinv_RNA-XM_011177035.2_R0","gene_318","PREDICTED: DNA topoisomerase I, mitochondrial isoform X1 [Acromyrmex echinatior]"
"25521","Aech_RNA1838_R0","gene_155","PREDICTED: uncharacterized protein LOC105151694 isoform X1 [Acromyrmex echinatior]"
"25524","Aech_RNA1839_R0","gene_155","PREDICTED: uncharacterized protein LOC105151694 isoform X3 [Acromyrmex echinatior]"
"25526","Aech_RNA1840_R0","gene_155","PREDICTED: uncharacterized protein LOC105151694 isoform X2 [Acromyrmex echinatior]"
"25527","Mpha_ver3_rna-XM_012687112.3_R0","gene_155","hypothetical protein G5I_01125 [Acromyrmex echinatior]"
"25528","Sinv_RNA-XM_026138970.1_R0","gene_156","golgin subfamily A member 6-like protein 22 [Solenopsis invicta]"
"25530","Aech_RNA1836_R0","gene_319","PREDICTED: RCC1 and BTB domain-containing protein 1 [Acromyrmex echinatior]"
"25532","Aech_RNA9148_R1","gene_319","PREDICTED: RCC1 and BTB domain-containing protein 1 [Acromyrmex echinatior]"
"25533","Aech_RNA9148_R2","gene_320","PREDICTED: RCC1 and BTB domain-containing protein 2-like [Acromyrmex echinatior]"
"25534","Mpha_ver3_rna-XM_012679930.3_R0","gene_320","PREDICTED: RCC1 and BTB domain-containing protein 1 [Acromyrmex echinatior]"
"25535","Aech_RNA15087_R0","gene_321","PREDICTED: uncharacterized protein LOC105149720 [Acromyrmex echinatior]"
"25536","Mpha_ver3_rna-XM_036288875.1_R6","gene_322","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105621711 [Atta cephalotes]"
"25540","Mpha_ver3_rna-XM_036287011.1_R3","gene_323","hypothetical protein ALC57_03694 [Trachymyrmex cornetzi]"
"25541","Mpha_ver3_rna-XM_036283876.1_R7","gene_157","hypothetical protein ALC56_09490 [Trachymyrmex septentrionalis]"
"25542","Aech_RNA15081_R0","gene_324","PREDICTED: RCC1 and BTB domain-containing protein 1-like isoform X1 [Acromyrmex echinatior]"
"25543","Aech_RNA15086_R0","gene_324","PREDICTED: RCC1 and BTB domain-containing protein 1-like isoform X2 [Acromyrmex echinatior]"
"25544","Aech_RNA15085_R0","gene_324","PREDICTED: RCC1 and BTB domain-containing protein 1-like isoform X3 [Acromyrmex echinatior]"
"25545","Aech_RNA15080_R0","gene_325","PREDICTED: 28S ribosomal protein S2, mitochondrial [Acromyrmex echinatior]"
"25548","Aech_RNA15077_R0","gene_158","PREDICTED: dehydrogenase/reductase SDR family member 7 [Acromyrmex echinatior]"
"25550","Aech_RNA15073_R0","gene_159","PREDICTED: phospholipid scramblase 1-like isoform X1 [Acromyrmex echinatior]"
"25551","Mpha_ver3_rna-XM_012668670.3_R0","gene_159","PREDICTED: phospholipid scramblase 1-like isoform X1 [Acromyrmex echinatior]"
"25552","Sinv_RNA-XM_011170826.2_R0","gene_159","PREDICTED: phospholipid scramblase 1-like isoform X1 [Acromyrmex echinatior]"
"25553","Aech_RNA15076_R0","gene_159","PREDICTED: phospholipid scramblase 4-like isoform X2 [Acromyrmex echinatior]"
"25554","Sinv_RNA-XM_011170828.2_R0","gene_159","PREDICTED: phospholipid scramblase 1-like isoform X1 [Acromyrmex echinatior]"
"25555","Aech_RNA7592_R7","gene_160","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Atta cephalotes]"
"25556","Aech_RNA15071_R0","gene_161","PREDICTED: uncharacterized protein LOC105149714 [Acromyrmex echinatior]"
"25557","Mpha_ver3_rna-XM_036287005.1_R0","gene_161","PREDICTED: uncharacterized protein LOC105149714 [Acromyrmex echinatior]"
"25558","Aech_RNA15072_R0","gene_326","PREDICTED: uncharacterized protein LOC105149713 [Acromyrmex echinatior]"
"25561","Mpha_ver3_rna-XM_036287002.1_R0","gene_326","PREDICTED: uncharacterized protein LOC105149713 [Acromyrmex echinatior]"
"25562","Mpha_ver3_rna-XM_012679838.2_R0","gene_162","PREDICTED: LOW QUALITY PROTEIN: cysteine protease ATG4D [Acromyrmex echinatior]"
"25564","Mpha_ver3_rna-XM_012679839.3_R0","gene_162","PREDICTED: LOW QUALITY PROTEIN: cysteine protease ATG4D [Acromyrmex echinatior]"
"25565","Mpha_ver3_rna-XM_012679840.3_R0","gene_162","PREDICTED: LOW QUALITY PROTEIN: cysteine protease ATG4D [Acromyrmex echinatior]"
"25566","Mpha_ver3_rna-XM_012679841.3_R0","gene_162","PREDICTED: LOW QUALITY PROTEIN: cysteine protease ATG4D [Acromyrmex echinatior]"
"25567","Aech_RNA6558_R0","gene_327","PREDICTED: GTP:AMP phosphotransferase AK3, mitochondrial [Acromyrmex echinatior]"
"25570","Mpha_ver3_rna-XM_036287004.1_R0","gene_327","PREDICTED: GTP:AMP phosphotransferase AK3, mitochondrial [Acromyrmex echinatior]"
"25571","Aech_RNA6564_R0","gene_328","PREDICTED: uncharacterized protein LOC105144592 [Acromyrmex echinatior]"
"25572","Aech_RNA6567_R0","gene_329","PREDICTED: metabotropic glutamate receptor [Acromyrmex echinatior]"
"25575","Aech_RNA6568_R0","gene_330","PREDICTED: lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial [Acromyrmex echinatior]"
"25578","Aech_RNA6569_R0","gene_163","PREDICTED: protein lap1 [Acromyrmex echinatior]"
"25581","Sinv_RNA-XM_011170837.2_R0","gene_163","PREDICTED: protein lap1 [Acromyrmex echinatior]"
"25582","Mpha_ver3_rna-XM_012679930.3_R7","gene_164","PREDICTED: RCC1 and BTB domain-containing protein 2-like [Acromyrmex echinatior]"
"25583","Aech_RNA20430_R1","gene_331","PREDICTED: LOW QUALITY PROTEIN: RCC1 and BTB domain-containing protein 1-like [Acromyrmex echinatior]"
"25584","Aech_RNA20433_R1","gene_331","PREDICTED: LOW QUALITY PROTEIN: RCC1 and BTB domain-containing protein 1-like [Acromyrmex echinatior]"
"25585","Mpha_ver3_rna-XM_036286792.1_R1","gene_331","PREDICTED: LOW QUALITY PROTEIN: RCC1 and BTB domain-containing protein 1-like [Acromyrmex echinatior]"
"25586","Aech_RNA6572_R0","gene_332","PREDICTED: RCC1 and BTB domain-containing protein 1-like [Atta cephalotes]"
"25590","Sinv_RNA-XM_011170846.2_R0","gene_165","PREDICTED: acetylcholinesterase-like [Atta colombica]"
"25592","Aech_RNA6574_R0","gene_333","PREDICTED: uncharacterized protein LOC105144600 [Acromyrmex echinatior]"
"25595","Aech_RNA6577_R0","gene_334","PREDICTED: uncharacterized protein LOC105144602 [Acromyrmex echinatior]"
"25596","Mpha_ver3_rna-XM_012685846.3_R0","gene_334","hypothetical protein G5I_04389, partial [Acromyrmex echinatior]"
"25597","Aech_RNA6578_R0","gene_335","PREDICTED: uncharacterized protein LOC105144609 [Acromyrmex echinatior]"
"25598","Aech_RNA6579_R0","gene_336","PREDICTED: probable actin-related protein 2/3 complex subunit 2 [Acromyrmex echinatior]"
"25601","Aech_RNA6580_R0","gene_337","PREDICTED: transmembrane inner ear expressed protein [Acromyrmex echinatior]"
"25604","Sinv_RNA-XM_026138497.1_R0","gene_166","PREDICTED: uncharacterized protein LOC108749780 [Trachymyrmex septentrionalis]"
"25606","Aech_RNA6581_R0","gene_167","S-adenosylmethionine decarboxylase proenzyme [Atta colombica]"
"25609","Aech_RNA6582_R0","gene_168","PREDICTED: U3 small nucleolar RNA-associated protein 14 homolog A [Acromyrmex echinatior]"
"25612","Aech_RNA9970_R2","gene_338","Protein CWC15-like protein A, partial [Acromyrmex echinatior]"
"25613","Sinv_RNA-XM_026132889.1_R7","gene_339","PREDICTED: THAP domain-containing protein 6-like [Acromyrmex echinatior]"
"25614","Sinv_RNA-XM_026132889.1_R8","gene_169","PREDICTED: THAP domain-containing protein 6-like [Acromyrmex echinatior]"
"25615","Aech_RNA18807_R1","gene_170","Protein CWC15-like protein A, partial [Acromyrmex echinatior]"
"25618","Aech_RNA6592_R0","gene_171","PREDICTED: RCC1 and BTB domain-containing protein 2-like [Acromyrmex echinatior]"
"25619","Aech_RNA6592_R1","gene_172","PREDICTED: RCC1 and BTB domain-containing protein 2-like [Acromyrmex echinatior]"
"25620","Mpha_ver3_rna-XM_012679930.3_R3","gene_172","PREDICTED: RCC1 and BTB domain-containing protein 2-like [Acromyrmex echinatior]"
"25621","Aech_RNA6593_R0","gene_172","PREDICTED: uncharacterized protein LOC105144615 [Acromyrmex echinatior]"
"25622","Aech_RNA6594_R0","gene_172","PREDICTED: RCC1 and BTB domain-containing protein 2-like [Acromyrmex echinatior]"
"25623","Aech_RNA6592_R2","gene_340","PREDICTED: RCC1 and BTB domain-containing protein 2-like [Acromyrmex echinatior]"
"25624","Sinv_RNA-XM_011173539.2_R4","gene_173","uncharacterized protein LOC105204457 [Solenopsis invicta]"
"25625","Sinv_RNA-XM_026138346.1_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25647","Aech_RNA20511_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25649","Mpha_ver3_rna-XM_036286855.1_R2","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25651","Mpha_ver3_rna-XM_036283057.1_R3","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25653","Aech_RNA7845_R0","gene_341","PREDICTED: fatty acid synthase-like [Acromyrmex echinatior]"
"25654","Mpha_ver3_rna-XM_036294408.1_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25655","Mpha_ver3_rna-XM_036292782.1_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25656","Mpha_ver3_rna-XM_036286812.1_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25657","Mpha_ver3_rna-XM_036283056.1_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25658","Mpha_ver3_rna-XM_036286929.1_R0","gene_341","PREDICTED: fatty acid synthase-like [Trachymyrmex zeteki]"
"25659","Sinv_RNA-XM_026137455.1_R0","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25660","Mpha_ver3_rna-XM_036286813.1_R2","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25661","Aech_RNA20514_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25662","Sinv_RNA-XM_026140480.1_R3","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25663","Sinv_RNA-XM_026138203.1_R3","gene_341","PREDICTED: fatty acid synthase-like [Trachymyrmex septentrionalis]"
"25664","Mpha_ver3_rna-XM_036288259.1_R2","gene_341","PREDICTED: fatty acid synthase-like [Acromyrmex echinatior]"
"25665","Aech_RNA20513_R1","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25666","Sinv_RNA-XM_026141770.1_R3","gene_341","PREDICTED: fatty acid synthase-like [Acromyrmex echinatior]"
"25667","Mpha_ver3_rna-XM_036295201.1_R0","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25668","Aech_RNA20512_R1","gene_341","PREDICTED: fatty acid synthase-like [Acromyrmex echinatior]"
"25669","Sinv_RNA-XM_026136245.1_R3","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25670","Mpha_ver3_rna-XM_028192782.2_R2","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25671","Sinv_RNA-XM_026141797.1_R3","gene_341","PREDICTED: fatty acid synthase-like [Acromyrmex echinatior]"
"25672","Mpha_ver3_rna-XM_036287096.1_R2","gene_341","Fatty acid synthase [Acromyrmex echinatior]"
"25673","Aech_RNA7844_R0","gene_342","PREDICTED: RCC1 and BTB domain-containing protein 1-like [Acromyrmex echinatior]"
"25674","Sinv_RNA-XM_011161072.2_R0","gene_174","PREDICTED: uncharacterized protein LOC108749770 isoform X1 [Trachymyrmex septentrionalis]"
"25677","Aech_RNA7839_R0","gene_343","PREDICTED: coiled-coil domain-containing protein 6 isoform X1 [Acromyrmex echinatior]"
"25680","Aech_RNA7840_R0","gene_343","PREDICTED: coiled-coil domain-containing protein 6 isoform X3 [Acromyrmex echinatior]"
"25683","Aech_RNA7843_R0","gene_343","PREDICTED: coiled-coil domain-containing protein 6 isoform X2 [Acromyrmex echinatior]"
"25686","Aech_RNA7842_R0","gene_343","PREDICTED: coiled-coil domain-containing protein 6 isoform X4 [Acromyrmex echinatior]"
"25689","Aech_RNA7837_R0","gene_344","PREDICTED: uncharacterized protein LOC105145354 [Acromyrmex echinatior]"
"25692","Mpha_ver3_rna-XM_012684209.3_R0","gene_344","PREDICTED: uncharacterized protein LOC105145354 [Acromyrmex echinatior]"
"25693","Aech_RNA7834_R0","gene_345","PREDICTED: BAG domain-containing protein Samui isoform X1 [Acromyrmex echinatior]"
"25696","Aech_RNA7833_R0","gene_346","Alanine aminotransferase 2 [Atta colombica]"
"25697","Sinv_RNA-XM_011170871.2_R1","gene_346","Alanine aminotransferase 2 [Atta colombica]"
"25699","Sinv_RNA-XM_011170872.2_R1","gene_346","PREDICTED: alanine aminotransferase 2-like [Atta cephalotes]"
"25700","Sinv_RNA-XM_011170870.2_R1","gene_346","PREDICTED: alanine aminotransferase 2-like [Atta cephalotes]"
"25701","Aech_RNA7832_R0","gene_347","PREDICTED: alanine aminotransferase 2-like [Acromyrmex echinatior]"
"25702","Sinv_RNA-XM_011170871.2_R2","gene_347","PREDICTED: alanine aminotransferase 2-like [Acromyrmex echinatior]"
"25704","Sinv_RNA-XM_011170872.2_R2","gene_347","PREDICTED: alanine aminotransferase 2-like [Atta cephalotes]"
"25705","Mpha_ver3_rna-XM_012679932.2_R0","gene_348","PREDICTED: alanine aminotransferase 1-like [Atta cephalotes]"
"25707","Aech_RNA7830_R0","gene_348","Alanine aminotransferase 2 [Acromyrmex echinatior]"
"25710","Sinv_RNA-XM_011170871.2_R0","gene_348","PREDICTED: alanine aminotransferase 1-like [Atta cephalotes]"
"25712","Aech_RNA7829_R0","gene_175","PREDICTED: cysteine sulfinic acid decarboxylase [Acromyrmex echinatior]"
"25715","Sinv_RNA-XM_011159741.2_R1","gene_175","PREDICTED: cysteine sulfinic acid decarboxylase [Acromyrmex echinatior]"
"25716","Aech_RNA7828_R0","gene_349","PREDICTED: DNA-directed RNA polymerase, mitochondrial [Acromyrmex echinatior]"
"25718","Mpha_ver3_rna-XM_036286690.1_R0","gene_349","PREDICTED: DNA-directed RNA polymerase, mitochondrial [Acromyrmex echinatior]"
"25719","Aech_RNA7827_R0","gene_350","PREDICTED: tetratricopeptide repeat protein 21B-like [Acromyrmex echinatior]"
"25722","Aech_RNA7825_R0","gene_176","PREDICTED: proton-associated sugar transporter A-like isoform X2 [Acromyrmex echinatior]"
"25725","Aech_RNA7824_R0","gene_176","PREDICTED: proton-associated sugar transporter A-like isoform X1 [Acromyrmex echinatior]"
"25726","Aech_RNA7823_R0","gene_351","PREDICTED: synaptic vesicle glycoprotein 2C-like [Acromyrmex echinatior]"
"25729","Mpha_ver3_rna-XM_036293352.1_R7","gene_177","uncharacterized protein K02A2.6-like [Belonocnema treatae]"
"25730","Aech_RNA1935_R1","gene_178","PREDICTED: protein lin-28 homolog A-like [Acromyrmex echinatior]"
"25731","Aech_RNA20355_R1","gene_352","PREDICTED: uncharacterized protein LOC105153084 [Acromyrmex echinatior]"
"25740","Aech_RNA3910_R4","gene_353","PREDICTED: uncharacterized protein LOC105142985 [Acromyrmex echinatior]"
"25741","Sinv_RNA-XM_011173500.2_R1","gene_179","hypothetical protein G5I_05246 [Acromyrmex echinatior]"
"25742","Sinv_RNA-XM_011167609.1_R0","gene_354","PREDICTED: uncharacterized protein LOC108762485 [Trachymyrmex cornetzi]"
"25743","Mpha_ver3_rna-XM_036295403.1_R6","gene_355","hypothetical protein ALC62_16002, partial [Cyphomyrmex costatus]"
"25744","Aech_RNA7816_R0","gene_356","PREDICTED: vacuolar protein sorting-associated protein 13C isoform X4 [Acromyrmex echinatior]"
"25747","Mpha_ver3_rna-XM_012681870.3_R0","gene_356","PREDICTED: vacuolar protein sorting-associated protein 13C isoform X4 [Acromyrmex echinatior]"
"25749","Aech_RNA7819_R0","gene_356","PREDICTED: vacuolar protein sorting-associated protein 13A isoform X1 [Acromyrmex echinatior]"
"25750","Aech_RNA7818_R0","gene_356","PREDICTED: vacuolar protein sorting-associated protein 13A isoform X2 [Acromyrmex echinatior]"
"25751","Aech_RNA7817_R0","gene_356","PREDICTED: vacuolar protein sorting-associated protein 13A isoform X3 [Acromyrmex echinatior]"
"25752","Aech_RNA7815_R0","gene_357","PREDICTED: protein lifeguard 3-like [Acromyrmex echinatior]"
"25755","Mpha_ver3_rna-XM_036286797.1_R0","gene_357","PREDICTED: protein lifeguard 3-like [Acromyrmex echinatior]"
"25756","Aech_RNA7814_R0","gene_358","PREDICTED: uncharacterized protein KIAA0195 isoform X1 [Acromyrmex echinatior]"
"25759","Aech_RNA7813_R0","gene_358","PREDICTED: uncharacterized protein KIAA0195 isoform X2 [Acromyrmex echinatior]"
"25762","Aech_RNA7812_R0","gene_358","PREDICTED: uncharacterized protein KIAA0195 isoform X3 [Acromyrmex echinatior]"
"25764","Aech_RNA7809_R0","gene_180","PREDICTED: GPI ethanolamine phosphate transferase 2 isoform X2 [Acromyrmex echinatior]"
"25766","Aech_RNA7808_R0","gene_180","PREDICTED: GPI ethanolamine phosphate transferase 2 isoform X1 [Acromyrmex echinatior]"
"25767","Aech_RNA7810_R0","gene_180","PREDICTED: GPI ethanolamine phosphate transferase 2 isoform X3 [Acromyrmex echinatior]"
"25768","Mpha_ver3_rna-XM_012681876.3_R0","gene_180","PREDICTED: GPI ethanolamine phosphate transferase 2 isoform X1 [Acromyrmex echinatior]"
"25769","Mpha_ver3_rna-XM_012681877.2_R0","gene_180","PREDICTED: GPI ethanolamine phosphate transferase 2 isoform X1 [Acromyrmex echinatior]"
"25770","Mpha_ver3_rna-XM_012681878.2_R0","gene_180","PREDICTED: GPI ethanolamine phosphate transferase 2 isoform X1 [Acromyrmex echinatior]"
"25771","Aech_RNA7811_R0","gene_181","PREDICTED: uncharacterized protein LOC105145336 [Acromyrmex echinatior]"
"25773","Aech_RNA7806_R0","gene_359","PREDICTED: uncharacterized protein LOC105145339 [Acromyrmex echinatior]"
"25776","Mpha_ver3_rna-XM_028193463.2_R0","gene_360","PREDICTED: tctex1 domain-containing protein 1-like [Acromyrmex echinatior]"
"25778","Aech_RNA7802_R0","gene_361","PREDICTED: multiple inositol polyphosphate phosphatase 1-like isoform X1 [Acromyrmex echinatior]"
"25781","Aech_RNA7804_R0","gene_361","PREDICTED: multiple inositol polyphosphate phosphatase 1-like isoform X2 [Acromyrmex echinatior]"
"25782","Aech_RNA7803_R0","gene_361","PREDICTED: multiple inositol polyphosphate phosphatase 1-like isoform X3 [Acromyrmex echinatior]"
"25783","Mpha_ver3_rna-XM_036287531.1_R0","gene_361","PREDICTED: multiple inositol polyphosphate phosphatase 1-like isoform X1 [Acromyrmex echinatior]"
"25784","Sinv_RNA-XM_026139287.1_R0","gene_361","PREDICTED: multiple inositol polyphosphate phosphatase 1-like isoform X1 [Acromyrmex echinatior]"
"25785","Aech_RNA7801_R0","gene_362","PREDICTED: multiple inositol polyphosphate phosphatase 1-like [Acromyrmex echinatior]"
"25788","Aech_RNA7799_R0","gene_363","PREDICTED: ADP-ribosylation factor GTPase-activating protein 1 isoform X1 [Acromyrmex echinatior]"
"25791","Aech_RNA7798_R0","gene_363","PREDICTED: ADP-ribosylation factor GTPase-activating protein 1 isoform X2 [Acromyrmex echinatior]"
"25794","Mpha_ver3_rna-XM_028193077.2_R0","gene_363","PREDICTED: ADP-ribosylation factor GTPase-activating protein 1 isoform X1 [Acromyrmex echinatior]"
"25796","Aech_RNA7797_R0","gene_182","PREDICTED: uncharacterized protein LOC105145330 isoform X1 [Acromyrmex echinatior]"
"25797","Aech_RNA7795_R0","gene_364","PREDICTED: mitotic-spindle organizing protein 1-like [Acromyrmex echinatior]"
"25800","Aech_RNA7794_R0","gene_183","PREDICTED: LDLR chaperone boca [Acromyrmex echinatior]"
"25803","Aech_RNA7789_R0","gene_365","PREDICTED: uncharacterized protein LOC105145323 [Acromyrmex echinatior]"
"25806","Sinv_RNA-XM_011158902.2_R0","gene_365","PREDICTED: uncharacterized protein LOC105145323 [Acromyrmex echinatior]"
"25807","Aech_RNA7788_R0","gene_184","PREDICTED: chromobox protein homolog 1-like [Acromyrmex echinatior]"
"25808","Mpha_ver3_rna-XM_012684932.3_R2","gene_186","PREDICTED: uncharacterized protein LOC108690243 [Atta colombica]"
"25809","Aech_RNA7787_R0","gene_185","PREDICTED: uncharacterized protein LOC105145325 [Acromyrmex echinatior]"
"25827","Aech_RNA7786_R0","gene_187","PREDICTED: putative uncharacterized protein FLJ37770 [Acromyrmex echinatior]"
"25828","Aech_RNA10264_R1","gene_189","PREDICTED: NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 [Acromyrmex echinatior]"
"25829","Aech_RNA7787_R1","gene_188","PREDICTED: uncharacterized protein LOC105145325 [Acromyrmex echinatior]"
"25838","Aech_RNA7784_R0","gene_190","PREDICTED: uncharacterized protein LOC105145327 isoform X2 [Acromyrmex echinatior]"
"25839","Mpha_ver3_rna-XM_028192462.2_R0","gene_191","Mariner Mos1 transposase [Acromyrmex echinatior]"
"25840","Aech_RNA7783_R0","gene_191","Chromobox protein-like protein 5, partial [Acromyrmex echinatior]"
"25841","Aech_RNA7781_R0","gene_366","PREDICTED: uncharacterized protein LOC105145322 isoform X1 [Acromyrmex echinatior]"
"25843","Aech_RNA7780_R0","gene_366","PREDICTED: uncharacterized protein LOC105145322 isoform X2 [Acromyrmex echinatior]"
"25844","Aech_RNA7779_R0","gene_192","PREDICTED: probable serine/threonine-protein kinase fhkB [Acromyrmex echinatior]"
"25846","Sinv_RNA-XM_011158910.2_R0","gene_193","PREDICTED: uncharacterized protein LOC105145320 isoform X1 [Acromyrmex echinatior]"
"25848","Sinv_RNA-XM_011158913.2_R0","gene_193","PREDICTED: uncharacterized protein LOC105145320 isoform X2 [Acromyrmex echinatior]"
"25850","Aech_RNA7777_R0","gene_193","PREDICTED: uncharacterized protein LOC105145320 isoform X1 [Acromyrmex echinatior]"
"25851","Aech_RNA7778_R0","gene_193","PREDICTED: uncharacterized protein LOC105145320 isoform X2 [Acromyrmex echinatior]"
"25852","Aech_RNA7776_R0","gene_194","PREDICTED: acylphosphatase-1-like [Acromyrmex echinatior]"
"25855","Aech_RNA7775_R0","gene_367","PREDICTED: cell growth regulator with RING finger domain protein 1-like [Acromyrmex echinatior]"
"25858","Mpha_ver3_rna-XM_036286961.1_R0","gene_367","Cell growth regulator with RING finger domain protein 1 [Acromyrmex echinatior]"
"25860","Aech_RNA7774_R0","gene_368","PREDICTED: CDC42 small effector protein homolog [Acromyrmex echinatior]"
"25862","Aech_RNA7773_R0","gene_195","PREDICTED: protein spaetzle [Acromyrmex echinatior]"
"25863","Mpha_ver3_rna-XM_012667412.3_R0","gene_195","PREDICTED: protein spaetzle [Acromyrmex echinatior]"
"25864","Sinv_RNA-XM_011158916.2_R0","gene_195","PREDICTED: protein spaetzle [Acromyrmex echinatior]"
"25865","Aech_RNA7772_R0","gene_369","PREDICTED: uncharacterized protein LOC105145314 [Acromyrmex echinatior]"
"25868","Sinv_RNA-XM_011158929.2_R0","gene_369","PREDICTED: uncharacterized protein LOC105145314 [Acromyrmex echinatior]"
"25869","Aech_RNA7767_R0","gene_196","PREDICTED: ninjurin-1-like [Acromyrmex echinatior]"
"25871","Sinv_RNA-XM_011158923.2_R0","gene_370","hypothetical protein G5I_05210 [Acromyrmex echinatior]"
"25873","Aech_RNA7765_R0","gene_197","PREDICTED: potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2-like [Acromyrmex echinatior]"
"25874","Sinv_RNA-XM_011158922.2_R0","gene_197","PREDICTED: potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2-like [Acromyrmex echinatior]"
"25875","Mpha_ver3_rna-XM_028191126.2_R0","gene_197","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 [Acromyrmex echinatior]"
